"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"59684",2402,"309","",3,"e30613","",""
"59683",2402,"307","",3,"00663a","",""
"59682",2402,"306","",3,"004f9f","",""
"59681",2402,"305","",3,"ef7d00","",""
"59680",2402,"304","",3,"afc538","",""
"59678",2402,"195","",3,"","",""
"59676",2402,"60","",3,"","",""
"59675",2402,"154","",3,"","",""
"59674",2402,"151","",3,"","",""
"59673",2402,"143","",3,"","",""
"59672",2402,"141","",3,"","",""
"59671",2402,"133","",3,"","",""
"59670",2402,"132","",3,"","",""
"59669",2402,"131","",3,"","",""
"59668",2402,"111","",3,"","",""
"59667",2402,"101","",3,"","",""
"59666",2400,"656","",3,"","",""
"59665",2400,"313","",3,"","",""
"59664",2400,"312","",3,"","",""
"59662",2400,"225","",3,"","",""
"59661",2400,"224","",3,"","",""
"59660",2400,"223","",3,"","",""
"59659",2400,"222","",3,"","",""
"59658",2400,"220","",3,"","",""
"59657",2400,"219","",3,"","",""
"59656",2400,"218","",3,"","",""
"59655",2400,"217","",3,"","",""
"59654",2400,"216","",3,"","",""
"59653",2400,"215","",3,"","",""
"59652",2400,"214","",3,"","",""
"59651",2400,"212","",3,"","",""
"59650",2400,"211","",3,"","",""
"59649",2400,"121","",3,"","",""
"59648",2400,"639","",3,"","",""
"59647",2400,"638","",3,"","",""
"59646",2400,"637","",3,"","",""
"59645",2400,"636","",3,"","",""
"59644",2400,"635","",3,"","",""
"59643",2400,"632","",3,"","",""
"59642",2400,"631","",3,"","",""
"59641",2400,"630","",3,"","",""
"59640",2400,"629","",3,"","",""
"59639",2400,"628","",3,"","",""
"59638",2400,"627","",3,"","",""
"59637",2400,"626","",3,"","",""
"59636",2400,"625","",3,"","",""
"59635",2400,"624","",3,"","",""
"59634",2400,"623","",3,"","",""
"59633",2400,"622","",3,"","",""
"59632",2400,"621","",3,"","",""
"59631",2400,"620","",3,"","",""
"59630",2400,"619","",3,"","",""
"59628",2400,"433","",3,"","",""
"59627",2400,"432","",3,"","",""
"59626",2400,"431","",3,"","",""
"59625",2400,"428","",3,"","",""
"59624",2400,"427","",3,"","",""
"59623",2400,"426","",3,"","",""
"59622",2400,"424","",3,"","",""
"59621",2400,"423","",3,"","",""
"59620",2400,"422","",3,"","",""
"59619",2400,"421","",3,"","",""
"59618",2400,"420","",3,"","",""
"59617",2400,"419","",3,"","",""
"59616",2400,"418","",3,"","",""
"59615",2400,"417","",3,"","",""
"59614",2400,"416","",3,"","",""
"59613",2400,"415","",3,"","",""
"59610",2400,"412","",3,"","",""
"59609",2400,"411","",3,"","",""
"59608",2400,"410","",3,"","",""
"59607",2400,"396","",3,"","",""
"59606",2401,"889","",3,"","",""
"59605",2401,"888","",3,"","",""
"59604",2401,"887","",3,"","",""
"59603",2401,"886","",3,"","",""
"59602",2401,"885","",3,"","",""
"59601",2401,"884","",3,"","",""
"59600",2401,"883","",3,"","",""
"59598",2401,"881","",3,"","",""
"59597",2401,"880","",3,"","",""
"59596",2401,"879","",3,"","",""
"59595",2401,"878","",3,"","",""
"59594",2401,"877","",3,"","",""
"59593",2401,"876","",3,"","",""
"59592",2401,"875","",3,"","",""
"59591",2401,"874","",3,"","",""
